Offset;Input Attributes: Layout 7 (Per vertex).TEXCOORD3[0];Input Attributes: Layout 7 (Per vertex).TEXCOORD3[1]
3112;0.05636072;0.9537354
3120;0.05528307;0.9542614
3128;0.05481285;0.9539021
3136;0.05433565;0.9534498
3144;0.05562699;0.9542807
3152;0.05596519;0.9544281
3160;0.05628824;0.9550737
3168;0.05385804;0.953234
3176;0.05663961;0.9560684
3184;0.05535847;0.9553225
3192;0.05562288;0.9552205
3200;0.05594265;0.9551592
3208;0.05501962;0.9550943
3216;0.05463493;0.9545386
3224;0.05432278;0.9541073
3232;0.05481207;0.9551051
3240;0.05585039;0.9561476
3248;0.0555678;0.9561431
3256;0.0553174;0.9561738
3264;0.05506641;0.9559369
3272;0.05488849;0.9557543
3280;0.05623555;0.9561009
3288;0.05466461;0.9551799
3296;0.0547508;0.9556703
3304;0.05448508;0.9547241
3312;0.05457121;0.9552629
3320;0.05501288;0.9566835
3328;0.05487555;0.9564231
3336;0.05477446;0.9561846
3344;0.05465168;0.9556746
3352;0.05522954;0.9569659
3360;0.05546343;0.9570656
3368;0.05572402;0.9571975
3376;0.05612868;0.9573268
3384;0.05658478;0.9574297
3392;0.05710942;0.957639
3400;0.056427;0.9587866
3408;0.05598348;0.9585506
3416;0.05585772;0.9597388
3424;0.05557168;0.9582155
3432;0.05546373;0.9592184
3440;0.0551616;0.9598936
3448;0.05530971;0.9579588
3456;0.05521196;0.9588468
3464;0.05494231;0.9594493
3472;0.05469179;0.96026
3480;0.05507684;0.9577472
3488;0.05496824;0.9584996
3496;0.05482209;0.9574434
3504;0.05475783;0.9590323
3512;0.05468833;0.9582432
3520;0.05458009;0.9586197
3528;0.05479854;0.9568948
3536;0.05445892;0.958107
3544;0.05420375;0.9582771
3552;0.05427641;0.9588462
3560;0.05441999;0.9594017
3568;0.05465156;0.9573517
3576;0.05473876;0.9566626
3584;0.05444151;0.9576631
3592;0.05462283;0.9571477
3600;0.05455077;0.9598483
3608;0.05393559;0.9589688
3616;0.05443525;0.9575249
3624;0.05417836;0.9577897
3632;0.05418152;0.9606627
3640;0.05404478;0.9595572
3648;0.05417794;0.9578933
3656;0.05391896;0.9579983
3664;0.05382943;0.9584163
3672;0.05359763;0.9609486
3680;0.05410415;0.9600862
3688;0.05353868;0.9590011
3696;0.05360699;0.9602946
3704;0.05362189;0.9596757
3712;0.05368179;0.958004
3720;0.05392337;0.9578885
3728;0.05339378;0.9582776
3736;0.0530709;0.9604018
3744;0.05313039;0.9596862
3752;0.05310088;0.9589792
3760;0.05302745;0.9583617
3768;0.05301374;0.9610808
3776;0.05294979;0.9617712
3784;0.05285144;0.9625371
3792;0.05310059;0.9638996
3800;0.05242848;0.9635178
3808;0.05250162;0.9649558
3816;0.05190498;0.9643385
3824;0.05116427;0.9658851
3832;0.05069554;0.9650953
3840;0.04947251;0.9661835
3848;0.05124199;0.9634812
3856;0.0518558;0.9626182
3864;0.05216098;0.9616695
3872;0.05228221;0.9610373
3880;0.0492416;0.9654245
3888;0.04804593;0.9661835
3896;0.0511356;0.962254
3904;0.0500772;0.9640751
3912;0.047975;0.9655182
3920;0.04694855;0.9661835
3928;0.05239421;0.960372
3936;0.05150402;0.961446
3944;0.05054212;0.962914
3952;0.0488472;0.9644083
3960;0.04959667;0.963389
3968;0.05000514;0.9624845
3976;0.05251539;0.9596702
3984;0.05167127;0.9608043
3992;0.05052757;0.9619232
4000;0.0525707;0.9589324
4008;0.05086023;0.9612271
4016;0.05255741;0.9583335
4024;0.05190498;0.9595445
4032;0.05177861;0.9602145
4040;0.05205542;0.958892
4048;0.05100006;0.9605766
4056;0.05148721;0.9593212
4064;0.05214703;0.9582701
4072;0.0509848;0.9597663
4080;0.05168766;0.9587557
4088;0.05111521;0.9590256
4096;0.05253094;0.9577387
4104;0.05220222;0.957728
4112;0.05289602;0.9577217
4120;0.05182791;0.9581983
4128;0.05136424;0.9585806
4136;0.05191284;0.9576899
4144;0.0515455;0.9580973
4152;0.05223626;0.9572834
4160;0.05196583;0.9572396
4168;0.05251318;0.9573103
4176;0.05164766;0.9576274
4184;0.05110315;0.9584344
4192;0.051277;0.9580108
4200;0.05087506;0.958813
4208;0.05138516;0.9575542
4216;0.05170172;0.9571816
4224;0.05144966;0.957125
4232;0.0507189;0.9592997
4240;0.05054634;0.959087
4248;0.05202132;0.9568176
4256;0.05174762;0.9567577
4264;0.05147451;0.9566873
4272;0.05034369;0.9594591
4280;0.05021925;0.9591875
4288;0.0504601;0.9599022
4296;0.05227494;0.9568616
4304;0.05178487;0.9563447
4312;0.05149466;0.9562516
4320;0.05208176;0.9564093
4328;0.04997766;0.9595244
4336;0.04990605;0.9592579
4344;0.05185157;0.9559438
4352;0.05002344;0.9599171
4360;0.04964936;0.9595248
4368;0.04961084;0.9592866
4376;0.05155653;0.9558076
4384;0.05110252;0.9560671
4392;0.04965425;0.9598851
4400;0.04935688;0.95951
4408;0.04933102;0.9592895
4416;0.05115056;0.9555985
4424;0.05074131;0.9558363
4432;0.04933578;0.9598492
4440;0.04907125;0.9594908
4448;0.04905046;0.9592845
4456;0.05070472;0.955354
4464;0.05032289;0.9555597
4472;0.04904187;0.9598103
4480;0.04880059;0.9594676
4488;0.0487872;0.9592633
4496;0.05020863;0.9551047
4504;0.04995513;0.9555501
4512;0.04876828;0.959778
4520;0.04853511;0.9594387
4528;0.04852413;0.9592209
4536;0.04850626;0.9597444
4544;0.04826349;0.9594169
4552;0.0482512;0.9591604
4560;0.047957;0.9594001
4568;0.04793184;0.959091
4576;0.0476097;0.9591127
4584;0.04825264;0.9597248
4592;0.04847813;0.9600935
4600;0.0487293;0.9601266
4608;0.048998;0.9601675
4616;0.04930443;0.9602269
4624;0.04895508;0.9605633
4632;0.04961669;0.9603029
4640;0.04870415;0.9605368
4648;0.0492478;0.9606276
