Offset;UnityPerCamera._Time[0];UnityPerCamera._Time[1];UnityPerCamera._Time[2];UnityPerCamera._Time[3];UnityPerCamera._SinTime[0];UnityPerCamera._SinTime[1];UnityPerCamera._SinTime[2];UnityPerCamera._SinTime[3];UnityPerCamera._CosTime[0];UnityPerCamera._CosTime[1];UnityPerCamera._CosTime[2];UnityPerCamera._CosTime[3];UnityPerCamera._TimeParameters[0];UnityPerCamera._TimeParameters[1];UnityPerCamera._TimeParameters[2];UnityPerCamera._TimeParameters[3];UnityPerCamera.unity_DeltaTime[0];UnityPerCamera.unity_DeltaTime[1];UnityPerCamera.unity_DeltaTime[2];UnityPerCamera.unity_DeltaTime[3];UnityPerCamera._WorldSpaceRelativeCameraPos[0];UnityPerCamera._WorldSpaceRelativeCameraPos[1];UnityPerCamera._WorldSpaceRelativeCameraPos[2];UnityPerCamera._EyeAdaptionExposure;UnityPerCamera._WorldSpaceCameraPos[0];UnityPerCamera._WorldSpaceCameraPos[1];UnityPerCamera._WorldSpaceCameraPos[2];UnityPerCamera._EyeAdaptionInverseExposure;UnityPerCamera._WorldSpaceCameraDir[0];UnityPerCamera._WorldSpaceCameraDir[1];UnityPerCamera._WorldSpaceCameraDir[2];UnityPerCamera._ProjectionParams[0];UnityPerCamera._ProjectionParams[1];UnityPerCamera._ProjectionParams[2];UnityPerCamera._ProjectionParams[3];UnityPerCamera._ScreenParams[0];UnityPerCamera._ScreenParams[1];UnityPerCamera._ScreenParams[2];UnityPerCamera._ScreenParams[3];UnityPerCamera._ZBufferParams[0];UnityPerCamera._ZBufferParams[1];UnityPerCamera._ZBufferParams[2];UnityPerCamera._ZBufferParams[3];UnityPerCamera.unity_OrthoParams[0];UnityPerCamera.unity_OrthoParams[1];UnityPerCamera.unity_OrthoParams[2];UnityPerCamera.unity_OrthoParams[3];UnityPerCamera._PrevCameraPos[0];UnityPerCamera._PrevCameraPos[1];UnityPerCamera._PrevCameraPos[2];UnityPerCamera._ReflectNormalBias;UnityPerCamera._PrevTime[0];UnityPerCamera._PrevTime[1];UnityPerCamera._PrevTime[2];UnityPerCamera._PrevTime[3];UnityPerCamera._SRPTime[0];UnityPerCamera._SRPTime[1];UnityPerCamera._SRPTime[2];UnityPerCamera._SRPTime[3];UnityPerCamera._PaperUnscaledTime[0];UnityPerCamera._PaperUnscaledTime[1];UnityPerCamera._PaperUnscaledTime[2];UnityPerCamera._PaperUnscaledTime[3];UnityPerCamera._FrameCount8
127104;-5.343008;0;0;0;0;-3.731461;-3.571554e-07;0.01783355;0;-0.06635627;2.002398e-05;-0.999841;0;0;0.100002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
127424;0.5807843;11.61569;23.23137;34.84706;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0.026;-0.012;0;0;0;0;0;0;0;6.013314e-05;0.007826805;0;3.196872e+23;0;0;0;0;0;0;0;0;0;0;0;0;0.007826805;0.007826805;0.007826805;0;0;0;0;1;0.002;0.004;0.01;1;0.05;0.02884615;0.007692307;1;150;150;200;200;1056964608
127744;1;1;0;0;0.001953125;0.001953125;512;512;0.5;0.5;0;0;0.3;1;0;1;0.007826805;0;0;0;0.007826805;2.003662;0;0.529;0;0;0;0.2922036;1.352353;1.374706;1.425;200;0;0;1;0.5;0.15;0.006;1;15;2;0.1;0.4;0.0005;3;0.6;0.2;5;2;0.3;0.12;0;0;0;0;0;0;0;0;0;0;0;0;0
128064;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.135301;1.135301;1.135301;-1;0.1;5000;0.0002;0;0;0;0;49999;1;9.9998;0.0002002716;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.565197;-0.00559881;0;0;0;0;0;0;0.7872562;15.74512;31.49025;47.23537;0;0;0;0;0;0;0;0;0;0;0;0;0;1.411757;1.176633;0;0;0;0;0;2147483648
128704;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3.48129;2.764064;-0.7004085;0;-2.331205;-2.122442;3.211032;0;0.3648851;0.6326582;0.6830831;0.19;-0.1719155;-0.1151212;0.364885;0;0.136497;-0.1048119;0.6326582;0;-0.03458807;0.1585695;0.6830832;0;3204758684
129024;3.196872e+23;9.114274e-29;0;0;0.007789135;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.193344e-07;0.01481544;0;7.678641e+21;2.152394e-41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5.343008;0;0;0;0;-3.731461;-3.571554e-07;0.01783355;0;-0.06635627;2.002398e-05;-0.999841;0
129344;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0.999841;-0.01783355;0;0;0;0;1.248634e+21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.63697e-08;1.48874;1.083012;0;0;0;0;0;863116067
129664;0;0;0;0;0;0;0;0;-1;0.1;5000;0.0002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;103.8212;2076.424;4152.847;6229.271;0.006143075;-0.2879964;0.9576126;0;-0.9999501;-0.009393927;0.003588915;0.0006417268;1;1;0;0;0;0;0;0;400;120;0.5;0.5;0
129984;0;0;0;0;1;1;0;0;1.99568e+12;0.007832485;0.007826805;2.152394e-41;0.007826805;0;0;0;0;0;0;0;0;0;0;0;0.007826805;0.007826805;2.152394e-41;0;0;0;0;0;0;0;0;0;0.0078125;0;0.0078125;0.007826805;0.007828951;0;0;1.2;1.2;0.012;0.032;0;0;0;1;1;1;-0.13;-0.65;0;0;0;0;0;0;0;0;1065353216
